model,variable,term,family,beta,p,q_bh,p_holm
Clothing & Footwear,ECOICOP_Vestido y calzado,D_COVID,dummy,8.7678,0.0,0.0,0.0
ICM,ICM,D_UKRAINE,dummy,3.4186,0.0026,0.0572,0.1118
politics → ICC,politica -> ICC,D_COVID,dummy,-8.1583,0.0128,0.1877,0.5376
ICC,ICC,D_COVID,dummy,-10.7848,0.0215,0.2365,0.8815
ICM,ICM,D_COVID,dummy,5.1903,0.0522,0.4594,1.0
IPI,IPI,D_COVID,dummy,-6.6283,0.1203,0.8822,1.0
society → ICC,sociedad -> ICC,D_COVID,dummy,-6.509,0.1478,0.929,1.0
Furnishings & Household,"ECOICOP_Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",D_COVID,dummy,0.4265,0.2146,1.0,1.0
Other Goods & Services,ECOICOP_Otros bienes y servicios,D_UKRAINE,dummy,0.2667,0.2804,1.0,1.0
Food & Non-Alc. Beverages,ECOICOP_Alimentos y bebidas no alcohólicas,D_UKRAINE,dummy,-0.6434,0.3305,1.0,1.0
CPI General Index,IPC_ECOICOP Índice General,D_COVID,dummy,0.3708,0.3535,1.0,1.0
sports → Recreation & Culture,deporte -> ECOICOP_Ocio y cultura,D_UKRAINE,dummy,1.0262,0.4148,1.0,1.0
Transport,ECOICOP_Transporte,D_COVID,dummy,-1.3512,0.4778,1.0,1.0
culture → Recreation & Culture,cultura -> ECOICOP_Ocio y cultura,D_UKRAINE,dummy,1.0989,0.4845,1.0,1.0
Communications,ECOICOP_Comunicaciones,D_COVID,dummy,0.3927,0.49,1.0,1.0
economy → CPI General Index,economia -> IPC_ECOICOP Índice General,D_COVID,dummy,0.2463,0.568,1.0,1.0
Alcohol & Tobacco,ECOICOP_Bebidas alcohólicas y tabaco,D_UKRAINE,dummy,0.4066,0.5713,1.0,1.0
Health,ECOICOP_Sanidad,D_UKRAINE,dummy,-0.0564,0.5798,1.0,1.0
Recreation & Culture,ECOICOP_Ocio y cultura,D_UKRAINE,dummy,0.7883,0.6373,1.0,1.0
Clothing & Footwear,ECOICOP_Vestido y calzado,D_UKRAINE,dummy,-1.6969,0.6756,1.0,1.0
Housing & Utilities,"ECOICOP_Vivienda, agua, electricidad, gas y otros combustibles",D_COVID,dummy,-1.1041,0.7184,1.0,1.0
Food & Non-Alc. Beverages,ECOICOP_Alimentos y bebidas no alcohólicas,D_COVID,dummy,0.4404,0.7488,1.0,1.0
Recreation & Culture,ECOICOP_Ocio y cultura,D_COVID,dummy,-0.4841,0.7894,1.0,1.0
culture → Recreation & Culture,cultura -> ECOICOP_Ocio y cultura,D_COVID,dummy,-0.4968,0.7933,1.0,1.0
Alcohol & Tobacco,ECOICOP_Bebidas alcohólicas y tabaco,D_COVID,dummy,-0.1315,0.8364,1.0,1.0
sports → Recreation & Culture,deporte -> ECOICOP_Ocio y cultura,D_COVID,dummy,-0.3061,0.865,1.0,1.0
Restaurants & Hotels,ECOICOP_Restaurantes y hoteles,D_COVID,dummy,-0.1616,0.8784,1.0,1.0
Health,ECOICOP_Sanidad,D_COVID,dummy,-0.0276,0.8804,1.0,1.0
Furnishings & Household,"ECOICOP_Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",D_UKRAINE,dummy,0.0407,0.9088,1.0,1.0
Restaurants & Hotels,ECOICOP_Restaurantes y hoteles,D_UKRAINE,dummy,0.0282,0.9114,1.0,1.0
Other Goods & Services,ECOICOP_Otros bienes y servicios,D_COVID,dummy,-0.0313,0.9273,1.0,1.0
Education,ECOICOP_Enseñanza,D_UKRAINE,dummy,-0.0824,0.9587,1.0,1.0
environment → Housing & Utilities,"medioambiente -> ECOICOP_Vivienda, agua, electricidad, gas y otros combustibles",D_COVID,dummy,0.1504,0.9613,1.0,1.0
IPI,IPI,D_UKRAINE,dummy,-0.1315,0.9819,1.0,1.0
Education,ECOICOP_Enseñanza,D_COVID,dummy,0.0179,0.985,1.0,1.0
economy → CPI General Index,economia -> IPC_ECOICOP Índice General,D_UKRAINE,dummy,0.6564,0.9957,1.0,1.0
CPI General Index,IPC_ECOICOP Índice General,D_UKRAINE,dummy,0.7632,0.9999,1.0,1.0
Communications,ECOICOP_Comunicaciones,D_UKRAINE,dummy,-0.1104,0.9999,1.0,1.0
Housing & Utilities,"ECOICOP_Vivienda, agua, electricidad, gas y otros combustibles",D_UKRAINE,dummy,1.4891,1.0,1.0,1.0
Transport,ECOICOP_Transporte,D_UKRAINE,dummy,2.5493,1.0,1.0,1.0
ICC,ICC,D_UKRAINE,dummy,-0.286,1.0,1.0,1.0
politics → ICC,politica -> ICC,D_UKRAINE,dummy,1.6396,1.0,1.0,1.0
society → ICC,sociedad -> ICC,D_UKRAINE,dummy,1.6795,1.0,1.0,1.0
environment → Housing & Utilities,"medioambiente -> ECOICOP_Vivienda, agua, electricidad, gas y otros combustibles",D_UKRAINE,dummy,0.3805,1.0,1.0,1.0
Clothing & Footwear,ECOICOP_Vestido y calzado,Joy,emotion,655.8616,0.0,0.0,0.0
ICM,ICM,Joy,emotion,1080.7625,0.0002,0.0088,0.0174
Clothing & Footwear,ECOICOP_Vestido y calzado,Fear,emotion,-675.0885,0.0019,0.0557,0.1634
IPI,IPI,Sadness,emotion,-913.3219,0.0031,0.0682,0.2635
Communications,ECOICOP_Comunicaciones,Joy,emotion,-68.6656,0.0238,0.4189,1.0
society → ICC,sociedad -> ICC,Joy,emotion,-277.6546,0.0414,0.6072,1.0
Clothing & Footwear,ECOICOP_Vestido y calzado,Anger,emotion,231.1397,0.0516,0.6487,1.0
sports → Recreation & Culture,deporte -> ECOICOP_Ocio y cultura,Anger,emotion,-31.5097,0.0798,0.7016,1.0
Furnishings & Household,"ECOICOP_Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",Joy,emotion,14.2409,0.0799,0.7016,1.0
sports → Recreation & Culture,deporte -> ECOICOP_Ocio y cultura,Joy,emotion,19.7242,0.0809,0.7016,1.0
CPI General Index,IPC_ECOICOP Índice General,Joy,emotion,32.3548,0.0877,0.7016,1.0
