series,mean,cv,supF_date,supF,F_covid,F_dec2021,F_ukraine
n_headlines,2093.6786,0.1487,2018-10-01,74.1688,33.2899,15.3403,16.0481
n_sources,237.3333,0.1417,2020-03-01,115.7766,115.7766,43.6016,41.0327
top10_share,0.6165,0.0613,2020-02-01,137.9806,130.3631,81.5995,81.1564
hhi_sources,0.0641,0.171,2022-01-01,101.4035,87.7185,98.1908,98.9709
share_cultura,0.0915,0.1912,2020-03-01,38.7629,38.7629,15.6175,11.7005
share_deporte,0.2466,0.1034,2019-02-01,44.8058,20.8074,4.1086,3.4208
share_economia,0.0887,0.2693,2020-07-01,192.7918,170.7598,43.2889,28.6945
share_medioambiente,0.1414,0.2275,2020-03-01,17.1614,17.1614,0.9491,0.3951
share_politica,0.2572,0.1534,2022-12-01,25.9825,0.0291,7.2639,11.3798
share_sociedad,0.1746,0.2265,2022-12-01,53.9813,6.7379,16.4751,18.279
