Fecha,n_headlines,n_sources,top10_share,hhi_sources,share_cultura,share_deporte,share_economia,share_medioambiente,share_politica,share_sociedad
2017-01-01,1451,182,0.68022,0.08798,0.10682,0.2991,0.06134,0.102,0.21709,0.21365
2017-02-01,1415,182,0.67208,0.08153,0.12085,0.28481,0.06219,0.08834,0.26502,0.1788
2017-03-01,1666,204,0.63745,0.08131,0.09544,0.28331,0.06543,0.12305,0.22269,0.21008
2017-04-01,1293,179,0.59706,0.06349,0.09977,0.28152,0.06419,0.14772,0.24439,0.16241
2017-05-01,1789,196,0.65903,0.08941,0.09782,0.28675,0.04863,0.13415,0.24651,0.18614
2017-06-01,1725,208,0.65275,0.08213,0.11188,0.24116,0.05391,0.14725,0.26783,0.17797
2017-07-01,1667,187,0.64607,0.07986,0.10978,0.25255,0.05819,0.17217,0.23575,0.17157
2017-08-01,1483,183,0.64531,0.07899,0.13486,0.28186,0.05597,0.17667,0.18274,0.1679
2017-09-01,1742,223,0.63203,0.07476,0.1085,0.27784,0.05683,0.11538,0.24914,0.19231
2017-10-01,1986,214,0.65206,0.07893,0.09164,0.27039,0.05237,0.13696,0.27039,0.17825
2017-11-01,1807,207,0.63697,0.07466,0.05479,0.23907,0.06752,0.10847,0.29773,0.23243
2017-12-01,1494,162,0.6834,0.08451,0.12115,0.30589,0.06024,0.10977,0.20281,0.20013
2018-01-01,1652,182,0.67797,0.08107,0.13257,0.28935,0.05932,0.10835,0.2046,0.20581
2018-02-01,1586,195,0.66204,0.07566,0.1034,0.26734,0.07566,0.10467,0.26103,0.18789
2018-03-01,1955,202,0.66138,0.07758,0.10384,0.25473,0.06854,0.13606,0.21841,0.21841
2018-04-01,1886,199,0.65429,0.06989,0.11824,0.26034,0.05885,0.12301,0.26299,0.17656
2018-05-01,1965,208,0.64733,0.07544,0.11705,0.25445,0.05852,0.11807,0.2626,0.18931
2018-06-01,1890,217,0.62963,0.06734,0.09312,0.26455,0.05873,0.10952,0.27831,0.19577
2018-07-01,1985,203,0.64181,0.07142,0.08363,0.23879,0.07053,0.13904,0.29521,0.1728
2018-08-01,1833,202,0.62902,0.06787,0.11129,0.2695,0.05292,0.19967,0.1784,0.18822
2018-09-01,1942,203,0.62667,0.06844,0.08342,0.27858,0.07055,0.10968,0.24562,0.21215
2018-10-01,2373,223,0.65487,0.06982,0.08976,0.2756,0.05563,0.12474,0.26464,0.18963
2018-11-01,2178,230,0.64141,0.0659,0.10836,0.25344,0.06382,0.12764,0.24839,0.19835
2018-12-01,1932,196,0.67547,0.0745,0.09369,0.26346,0.06366,0.0911,0.28261,0.20549
2019-01-01,2008,205,0.66633,0.06987,0.09064,0.26843,0.08068,0.11554,0.26394,0.18078
2019-02-01,1933,211,0.6658,0.06866,0.11485,0.21262,0.0745,0.08743,0.33006,0.18055
2019-03-01,2327,215,0.67168,0.06814,0.09024,0.24065,0.07091,0.12033,0.29695,0.18092
2019-04-01,2210,224,0.67104,0.07272,0.1086,0.21765,0.06335,0.13439,0.30407,0.17195
2019-05-01,2405,247,0.63534,0.06376,0.09979,0.25572,0.08316,0.12474,0.27484,0.16175
2019-06-01,2325,250,0.65806,0.06509,0.09892,0.24344,0.06151,0.13935,0.29161,0.16516
2019-07-01,2195,227,0.64465,0.06772,0.10706,0.21595,0.08155,0.1344,0.29385,0.1672
2019-08-01,1979,216,0.65235,0.06933,0.10763,0.26276,0.06468,0.17635,0.21627,0.17231
2019-09-01,2315,248,0.64233,0.06428,0.07732,0.25832,0.09114,0.12916,0.26609,0.17797
2019-10-01,2386,245,0.61903,0.06229,0.08089,0.26362,0.07041,0.10017,0.29883,0.18609
2019-11-01,2197,240,0.61493,0.06685,0.09877,0.2376,0.08102,0.12563,0.27993,0.17706
2019-12-01,1892,197,0.66385,0.07238,0.11258,0.2315,0.08827,0.14482,0.24366,0.17918
2020-01-01,1857,216,0.6489,0.06742,0.10662,0.22456,0.08078,0.12601,0.27625,0.18578
2020-02-01,1885,221,0.60637,0.06121,0.10292,0.23926,0.0992,0.1061,0.26419,0.18833
2020-03-01,2194,273,0.60027,0.06717,0.06791,0.24202,0.08204,0.16727,0.23017,0.21057
2020-04-01,2319,261,0.63088,0.06576,0.09357,0.24148,0.09832,0.17982,0.20699,0.17982
2020-05-01,2335,257,0.59657,0.06099,0.09165,0.24197,0.08137,0.16531,0.24968,0.17002
2020-06-01,2347,271,0.60077,0.05684,0.06945,0.23434,0.07371,0.17725,0.27013,0.17512
2020-07-01,1969,245,0.58456,0.05544,0.08126,0.22245,0.10208,0.20366,0.22042,0.17014
2020-08-01,1875,226,0.61333,0.06094,0.09973,0.2368,0.0832,0.24107,0.176,0.1632
