Fecha,anger,fear,sadness,joy
2017-01-01,0.025828,0.011378,0.029564,0.019363
2017-02-01,0.034215,0.011432,0.017059,0.020313
2017-03-01,0.03004,0.0114,0.028118,0.024463
2017-04-01,0.027262,0.011283,0.033494,0.02218
2017-05-01,0.030045,0.012883,0.019134,0.020079
2017-06-01,0.031028,0.011234,0.022793,0.029725
2017-07-01,0.0314,0.015738,0.032229,0.02398
2017-08-01,0.033504,0.016144,0.033178,0.023445
2017-09-01,0.03396,0.014628,0.033094,0.021846
2017-10-01,0.033999,0.014984,0.028864,0.023419
2017-11-01,0.033286,0.012094,0.021732,0.01802
2017-12-01,0.027099,0.011841,0.032106,0.026671
2018-01-01,0.039679,0.013128,0.026211,0.025048
2018-02-01,0.032887,0.012913,0.020767,0.015024
2018-03-01,0.025104,0.012664,0.027163,0.022438
2018-04-01,0.028217,0.012896,0.022918,0.0211
2018-05-01,0.035235,0.01363,0.021896,0.022074
2018-06-01,0.038962,0.010254,0.019413,0.019095
2018-07-01,0.028811,0.014411,0.031207,0.020007
2018-08-01,0.02789,0.018387,0.040045,0.021257
2018-09-01,0.033109,0.0118,0.027183,0.017999
2018-10-01,0.034251,0.014757,0.033862,0.018977
2018-11-01,0.03456,0.012041,0.029252,0.020577
2018-12-01,0.03185,0.014346,0.023837,0.028131
2019-01-01,0.030469,0.015207,0.024239,0.022098
2019-02-01,0.02995,0.012622,0.024725,0.01462
2019-03-01,0.033161,0.013248,0.022555,0.017236
2019-04-01,0.034651,0.011843,0.02781,0.016241
2019-05-01,0.02775,0.01371,0.024796,0.021127
2019-06-01,0.031875,0.012083,0.025048,0.019444
2019-07-01,0.032585,0.014999,0.02486,0.019123
2019-08-01,0.032118,0.016219,0.03197,0.016519
2019-09-01,0.030824,0.0126,0.032724,0.020702
2019-10-01,0.0358,0.012063,0.020443,0.02048
2019-11-01,0.038149,0.014359,0.019587,0.01969
2019-12-01,0.02873,0.015086,0.031565,0.030396
2020-01-01,0.026514,0.015481,0.029449,0.020593
2020-02-01,0.036337,0.015931,0.026816,0.017514
2020-03-01,0.030933,0.016976,0.02379,0.018635
2020-04-01,0.029508,0.013,0.024483,0.018452
2020-05-01,0.035648,0.015022,0.022933,0.017895
2020-06-01,0.033545,0.015891,0.024532,0.01549
2020-07-01,0.030342,0.014603,0.030696,0.019377
2020-08-01,0.030977,0.02075,0.039045,0.014637
2020-09-01,0.032033,0.017446,0.027394,0.020982
2020-10-01,0.028067,0.014786,0.027071,0.02252
2020-11-01,0.028809,0.014674,0.026898,0.019028
2020-12-01,0.031255,0.01401,0.025184,0.023571
2021-01-01,0.02599,0.018071,0.029428,0.016898
2021-02-01,0.031508,0.015306,0.026091,0.01824
2021-03-01,0.034839,0.013616,0.022918,0.01578
2021-04-01,0.035914,0.012132,0.026808,0.0167
2021-05-01,0.032326,0.013446,0.025504,0.020198
2021-06-01,0.036516,0.015564,0.019165,0.020868
2021-07-01,0.035265,0.015896,0.031983,0.024867
2021-08-01,0.031072,0.01776,0.031593,0.021617
2021-09-01,0.032838,0.014376,0.023696,0.014244
2021-10-01,0.033591,0.014052,0.023738,0.01661
2021-11-01,0.032904,0.015525,0.023069,0.01887
2021-12-01,0.022872,0.013472,0.03184,0.021494
2022-01-01,0.026883,0.012512,0.030348,0.018172
2022-02-01,0.031512,0.014461,0.02345,0.018076
2022-03-01,0.031253,0.013518,0.022909,0.020833
2022-04-01,0.030868,0.013086,0.020938,0.015463
2022-05-01,0.033509,0.015191,0.022059,0.018241
2022-06-01,0.030865,0.015305,0.025259,0.02295
2022-07-01,0.030716,0.018757,0.031051,0.020218
2022-08-01,0.026137,0.018389,0.038646,0.017485
2022-09-01,0.027645,0.016377,0.023678,0.019832
2022-10-01,0.033004,0.015701,0.032872,0.015336
2022-11-01,0.036037,0.012762,0.022613,0.019853
2022-12-01,0.029557,0.016271,0.032015,0.024584
2023-01-01,0.03097,0.012945,0.028057,0.020916
2023-02-01,0.034176,0.015635,0.02309,0.013982
2023-03-01,0.031503,0.014628,0.023036,0.016469
2023-04-01,0.033468,0.016528,0.025261,0.017363
2023-05-01,0.038245,0.01448,0.02667,0.017044
2023-06-01,0.031021,0.013933,0.027444,0.019992
2023-07-01,0.030211,0.012529,0.021297,0.019235
2023-08-01,0.025183,0.013125,0.030283,0.013822
2023-09-01,0.033122,0.012876,0.02548,0.013824
2023-10-01,0.033799,0.011353,0.025954,0.017401
2023-11-01,0.032763,0.011614,0.022178,0.016083
2023-12-01,0.027815,0.009707,0.020013,0.018085
