cause,effect,F,df_num,df_den,p,q_bh,p_holm
Joy,CPI,2.894,4,290,0.0225,0.2095,0.4503
Fear,Anger,2.864,4,290,0.0237,0.2095,0.4503
Fear,Joy,2.6758,4,290,0.0322,0.2095,0.5789
CPI,Sadness,2.5126,4,290,0.0419,0.2095,0.7123
Fear,Sadness,2.1684,4,290,0.0726,0.272,1.0
Anger,Fear,2.0139,4,290,0.0926,0.272,1.0
Anger,Sadness,1.9958,4,290,0.0952,0.272,1.0
Joy,Anger,1.8057,4,290,0.1277,0.2868,1.0
CPI,Joy,1.799,4,290,0.129,0.2868,1.0
CPI,Fear,1.4752,4,290,0.2097,0.4195,1.0
Fear,CPI,1.4092,4,290,0.2309,0.4199,1.0
Sadness,CPI,1.2855,4,290,0.2758,0.4528,1.0
Sadness,Fear,1.2193,4,290,0.3027,0.4528,1.0
Anger,Joy,1.1862,4,290,0.317,0.4528,1.0
Joy,Fear,0.7466,4,290,0.561,0.7072,1.0
Sadness,Anger,0.7394,4,290,0.5657,0.7072,1.0
Sadness,Joy,0.5556,4,290,0.6951,0.8178,1.0
CPI,Anger,0.3533,4,290,0.8417,0.9352,1.0
Joy,Sadness,0.2215,4,290,0.9263,0.9494,1.0
Anger,CPI,0.1785,4,290,0.9494,0.9494,1.0
