var_order,cause,effect,best_lag,p_min,p_holm_20,p_bonf_lag_then_bh
2,CPI,Anger,2,0.1002,1.0,0.3413
2,CPI,Fear,2,0.043,0.6026,0.246
2,CPI,Sadness,2,0.0114,0.2231,0.1447
2,CPI,Joy,2,0.0112,0.2231,0.1447
2,Anger,CPI,1,0.0226,0.3613,0.1525
2,Anger,Fear,1,0.391,1.0,0.9284
2,Anger,Sadness,2,0.1306,1.0,0.3955
2,Anger,Joy,2,0.0145,0.2459,0.1447
2,Fear,CPI,1,0.3946,1.0,0.9284
2,Fear,Anger,2,0.0229,0.3613,0.1525
2,Fear,Sadness,2,0.0633,0.823,0.3165
2,Fear,Joy,1,0.1024,1.0,0.3413
2,Sadness,CPI,1,0.0114,0.2231,0.1447
2,Sadness,Anger,1,0.7382,1.0,1.0
2,Sadness,Fear,1,0.4505,1.0,0.9483
2,Sadness,Joy,2,0.1384,1.0,0.3955
2,Joy,CPI,2,0.0905,1.0,0.3413
2,Joy,Anger,2,0.4449,1.0,0.9483
2,Joy,Fear,1,0.0965,1.0,0.3413
2,Joy,Sadness,1,0.3537,1.0,0.9284
4,CPI,Anger,2,0.1002,0.8687,0.6164
4,CPI,Fear,2,0.043,0.4304,0.313
4,CPI,Sadness,4,0.01,0.1776,0.144
4,CPI,Joy,2,0.0112,0.1785,0.144
4,Anger,CPI,1,0.0226,0.2484,0.1806
4,Anger,Fear,1,0.391,1.0,1.0
4,Anger,Sadness,2,0.1306,0.9142,0.7383
4,Anger,Joy,2,0.0145,0.1961,0.144
4,Fear,CPI,4,0.2581,1.0,1.0
4,Fear,Anger,3,0.0074,0.1406,0.144
4,Fear,Sadness,3,0.0047,0.0946,0.144
4,Fear,Joy,3,0.0162,0.1961,0.144
4,Sadness,CPI,1,0.0114,0.1785,0.144
4,Sadness,Anger,1,0.7382,1.0,1.0
4,Sadness,Fear,3,0.2756,1.0,1.0
4,Sadness,Joy,2,0.1384,0.9142,0.7383
4,Joy,CPI,4,0.014,0.1961,0.144
4,Joy,Anger,4,0.0099,0.1776,0.144
4,Joy,Fear,1,0.0965,0.8687,0.6164
4,Joy,Sadness,1,0.3537,1.0,1.0
6,CPI,Anger,2,0.1002,0.4553,0.7071
6,CPI,Fear,6,0.0333,0.2661,0.307
6,CPI,Sadness,4,0.01,0.1677,0.1929
6,CPI,Joy,2,0.0112,0.1677,0.1929
6,Anger,CPI,1,0.0226,0.2258,0.2303
6,Anger,Fear,6,0.057,0.3991,0.4887
6,Anger,Sadness,6,0.023,0.2258,0.2303
6,Anger,Joy,2,0.0145,0.1821,0.1929
6,Fear,CPI,6,0.0083,0.1486,0.1929
6,Fear,Anger,3,0.0074,0.1406,0.1929
6,Fear,Sadness,3,0.0047,0.0946,0.1929
6,Fear,Joy,3,0.0162,0.1821,0.1945
6,Sadness,CPI,1,0.0114,0.1677,0.1929
6,Sadness,Anger,1,0.7382,0.7382,1.0
6,Sadness,Fear,6,0.1374,0.4553,0.9159
6,Sadness,Joy,6,0.0845,0.4553,0.634
6,Joy,CPI,4,0.014,0.1821,0.1929
6,Joy,Anger,4,0.0099,0.1677,0.1929
6,Joy,Fear,6,0.0759,0.4553,0.607
6,Joy,Sadness,1,0.3537,0.7075,1.0
