series,lag,portmanteau_p_plus5,neg_to_cpi_p,cpi_to_neg_p,joy_to_cpi_p
published,1,0.0005,0.2858,0.3311,0.2111
published,2,0.0038,0.77,0.1041,0.1028
published,3,0.0111,0.8544,0.2147,0.0258
published,4,0.1724,0.7744,0.0336,0.0131
published,5,0.1042,0.7267,0.1082,0.0531
published,6,0.6736,0.2575,0.0164,0.5685
published,7,0.6029,0.2589,0.098,0.8318
published,8,0.5354,0.2583,0.2502,0.7953
fixed_panel,1,0.0019,0.3015,0.1969,0.1122
fixed_panel,2,0.055,0.6716,0.0223,0.0457
fixed_panel,3,0.0368,0.7498,0.0771,0.0467
fixed_panel,4,0.1394,0.5064,0.0365,0.1217
fixed_panel,5,0.0665,0.5117,0.0507,0.3478
fixed_panel,6,0.1475,0.3105,0.0358,0.9592
fixed_panel,7,0.0113,0.1189,0.1254,0.9896
fixed_panel,8,0.0008,0.1363,0.1065,0.9628
