Horizon (months),IPC_ECOICOP Índice General,Ira,Miedo,Tristeza,Alegria
1,0.021736774722367715,0.00706729171314149,0.000632578942795243,0.005874321900835385,0.9646890327208603
2,0.01966363107564724,0.03266084778172052,0.0006904686535609362,0.0056342023565363036,0.9413508501325349
3,0.019023234559202934,0.06504460210619273,0.0025007380500791957,0.038628703313211166,0.8748027219713139
4,0.021420579991325437,0.09113876037274578,0.019762186097939914,0.07401822306429262,0.7936602504736963
5,0.044079994952017656,0.08610601657210688,0.05241949012320429,0.08513187800599427,0.7322626203466769
6,0.043800418713791485,0.09202748213176856,0.05059363690993808,0.10722213977656168,0.7063563224679402
7,0.09830712925402613,0.08617634406302038,0.07343965858162468,0.10386624289398123,0.6382106252073474
8,0.09720085321816797,0.09824694606078596,0.07420083041438495,0.12171277560347929,0.6086385947031817
9,0.09353644333863373,0.10246058292971162,0.08043615062326183,0.13331081237017986,0.5902560107382129
10,0.09484520723348046,0.1170573125894768,0.08983586435072403,0.128553893452939,0.5697077223733797
11,0.11572622924868584,0.11706169386073009,0.08737360930324739,0.12571874791258913,0.5541197196747475
12,0.1135568017848463,0.11481074955217305,0.08967871746162767,0.12724576477598157,0.5547079664253713
