Horizon (months),IPC_ECOICOP Índice General,Ira,Miedo,Tristeza,Alegria
1,1.0,0.0,0.0,0.0,0.0
2,0.8992825601819007,0.003553878120842114,0.003949421556375611,0.09280333639736135,0.0004108037435203645
3,0.852431615205069,0.018985272654041492,0.03420457580264477,0.08455400714222844,0.009824529196016365
4,0.8420200005658266,0.019988432882179673,0.03680991788647435,0.0912827598316824,0.009898888833837008
5,0.8317832488878089,0.025924527854134807,0.03870759979454931,0.09035476240968976,0.013229861053817344
6,0.7690693610012719,0.02967387022527602,0.08378164564880104,0.08663525118659841,0.03083987193805265
7,0.7366673688165642,0.040391296054627546,0.11580183539751122,0.07973062647875688,0.027408873252540135
8,0.709489253061382,0.05597856225994002,0.12024790677118964,0.08582546495778343,0.028458812949704905
9,0.6964231855799533,0.058189889307806594,0.11785306993711867,0.09969050758391358,0.027843347591207903
10,0.6826101433437172,0.057415770048260185,0.11649607502354219,0.09774050280118253,0.045737508783297916
11,0.6817195995450379,0.058739938794192495,0.1162783945237379,0.09758357680273251,0.045678490334299285
12,0.6731857713681544,0.0612685171306499,0.11539287042875443,0.09472250484823272,0.05543033622420875
