Horizon (months),IPC_ECOICOP Índice General,Ira,Miedo,Tristeza,Alegria
1,0.05572336967851362,0.9442766303214866,0.0,0.0,0.0
2,0.09364984148628021,0.8955776444326478,0.003709441934689019,0.005523462812335773,0.0015396093340473958
3,0.10705271060835671,0.828601839498473,0.017178414886430085,0.005059957890157944,0.042107077116582445
4,0.09981836094134107,0.752478732234498,0.07431221058716617,0.03530803675703926,0.038082659479955774
5,0.08687157123427378,0.6716187200566822,0.0818427015824735,0.0916665151265187,0.0680004920000521
6,0.10023278845210748,0.6485931706478418,0.08921638877898537,0.09744891297912135,0.06450873914194434
7,0.11175694577329351,0.6268296010637217,0.10270924270574572,0.09414884005193111,0.06455537040530826
8,0.10985295553701353,0.6310823881824612,0.10151813169272642,0.09256030236965375,0.06498622221814529
9,0.10962959445539382,0.6246596222156963,0.10030987474892196,0.10096774129961084,0.06443316728037722
10,0.11298906259125922,0.6073338371146197,0.10681085539305109,0.09981865081703219,0.07304759408403787
11,0.11460423898549592,0.6043101963143109,0.10904551986378778,0.09933977733084473,0.07270026750556076
12,0.1126592845577431,0.5933493092859315,0.10871673103754803,0.10061491479148377,0.08465976032729376
