Horizon (months),IPC_ECOICOP Índice General,Ira,Miedo,Tristeza,Alegria
1,0.006098970990207705,0.010107644351923751,0.9837933846578685,0.0,0.0
2,0.0041873298581815745,0.11345055243980515,0.8588447488969309,0.023331858565520485,0.00018551023956198194
3,0.03674346866329768,0.10871304204882809,0.7902933199964425,0.05502276559352008,0.009227403697911711
4,0.06609114304967514,0.09899010109705163,0.7201306224888847,0.08219699336815088,0.03259113999623763
5,0.08629541035676823,0.09273632041397473,0.6930272080101876,0.09545279515024603,0.0324882660688235
6,0.0929916564043474,0.09584455724696371,0.6870972786068316,0.09342910790030275,0.030637399841554704
7,0.0971564228539521,0.08598476668603491,0.6775524223773514,0.08914522147524659,0.05016116660741508
8,0.11082596256377363,0.08182475331525181,0.6493872396576236,0.08984541745941686,0.06811662700393402
9,0.11490005167721334,0.08203687646979428,0.6398913911355899,0.08986542632586775,0.07330625439153464
10,0.12225401363057636,0.08074668968489732,0.6292285914986574,0.08957039062546654,0.07820031456040227
11,0.12017816831434619,0.0836254055788863,0.6284200357637931,0.0880830634192856,0.07969332692368875
12,0.11863785998565965,0.08491177143909492,0.6241679147120694,0.08665613795427986,0.08562631590889615
