Horizon (months),IPC_ECOICOP Índice General,Ira,Miedo,Tristeza,Alegria
1,0.04430525549578823,0.17008212417480817,0.08414699590378866,0.701465624425615,0.0
2,0.06877226081511569,0.2676311724792274,0.05082470695301829,0.5879825593034058,0.02478930044923278
3,0.08407362882997071,0.26173844560078763,0.049908408157546214,0.5797946568889575,0.024484860522738
4,0.0810394138061846,0.26688759111695975,0.06041892555450687,0.564535034474909,0.02711903504743976
5,0.12217508611033188,0.2537365148632842,0.06477696165181294,0.5335222449910929,0.02578919238347813
6,0.14784002529000337,0.2290640442791563,0.1175166536638327,0.4729837066538226,0.03259557011318501
7,0.13941663023815598,0.2302872572147466,0.13058700993236605,0.4593616273060055,0.04034747530872585
8,0.1315002858107336,0.2614840396506257,0.13623747857990834,0.43287844076055826,0.03789975519817415
9,0.13735024518860828,0.25888076875792143,0.13569437327350742,0.42930347372624256,0.03877113905372042
10,0.14478961612473978,0.25955095406159834,0.13102756243846342,0.41414940281408646,0.05048246456111209
11,0.1489217987280596,0.25502039929114495,0.1283344094862981,0.4166492907315293,0.05107410176296805
12,0.1517638408091344,0.2475819457988917,0.12287035235717556,0.41090335630516617,0.0668805047296322
